POINT_1_STREET;POINT_2_STREET;POINT_1_NAME;POINT_2_NAME;DURATION_IN_SEC;POINT_1_CITY;POINT_2_CITY;POINT_1_LAT;POINT_1_LNG;POINT_2_LAT;NDT_IN_KMH;POINT_2_POSTAL_CODE;POINT_2_COUNTRY;POINT_1_STREET_NUMBER;ORGANISATION;POINT_1_POSTAL_CODE;POINT_2_STREET_NUMBER;;extID;ROAD_TYPE;REPORT_ID;POINT_1_COUNTRY;DISTANCE_IN_METERS;REPORT_NAME;RBA_ID;_id
Skanderborgvej;Marselis Boulevard;3150;3988;61;Aarhus;Aarhus;56.14258759;10.18675688;56.13962771;43;8000;Denmark;26;COWI;8000;174;;366;MAJOR_ROAD;190285;Denmark;734;AAR_BT_0273 3150 3988;192358;1773
Haveforening Af 1918;Skanderborgvej;3988;4373;50;Aarhus;Aarhus;56.13953207;10.17720341;56.13844852;30;8260;Denmark;4;COWI;8000;106;;367;MAJOR_ROAD;190312;Denmark;422;AAR_BT_0274 3988 4373;192360;1774
Jyllands Alle;Vestavej;4548;4568;86;Højbjerg;Højbjerg;56.12994;10.18732968;56.12391431;33;8270;Denmark;105;COWI;8270;2;;558;MAJOR_ROAD;204007;Denmark;798;AAR_BT_0478 4548 4568;229581;1965
Hasle Ringvej;Hasle Ringvej;2657;2656;43;Aarhus;Aarhus;56.17505006;10.17152604;56.17312782;54;8210;Denmark;0;COWI;8210;27;;219;MAJOR_ROAD;179364;Denmark;641;AAR_BT_0126 2657 2656;180169;1626
Nørrebrogade;;3152;4374;79;Aarhus;Aarhus;56.1681376;10.20690854;56.16101782;39;8000;Denmark;45;COWI;8000;0;;253;MAJOR_ROAD;182657;Denmark;852;AAR_BT_0160 3152 4374;183575;1660
Skanderborgvej;Skanderborgvej;3986;4559;88;Aarhus;Aarhus;56.12582958;10.15770902;56.11919616;48;8260;Denmark;222;COWI;8260;222;;486;MAJOR_ROAD;197705;Denmark;1181;AAR_BT_0406 3986 4559;229437;1893
Jyllands Alle;Jyllands Alle;4554;4548;48;Aarhus;Højbjerg;56.13458496;10.18985733;56.12994;42;8270;Denmark;105;COWI;8000;105;;508;MAJOR_ROAD;198301;Denmark;554;AAR_BT_0428 4554 4548;229481;1915
Vestavej;Rosenvangs Alle;4568;4368;131;Højbjerg;Højbjerg;56.12391431;10.18591478;56.1169222;37;8270;Denmark;2;COWI;8270;233;;511;MAJOR_ROAD;201211;Denmark;1333;AAR_BT_0431 4568 4368;229487;1918
Ringvej Syd;Christian X's Vej;4334;4563;163;Aarhus;Højbjerg;56.118145;10.14813107;56.12004118;43;8270;Denmark;0;COWI;8260;169;;541;MAJOR_ROAD;203557;Denmark;1943;AAR_BT_0461 4334 4563;229547;1948
Christian X's Vej;Ringvej Syd;4563;4334;163;Højbjerg;Aarhus;56.12004118;10.16744167;56.11819883;42;8260;Denmark;169;COWI;8270;100;;542;MAJOR_ROAD;203583;Denmark;1907;AAR_BT_0462 4563 4334;229549;1949
Skanderborgvej;Rosenvangs Alle;3987;4556;112;Aarhus;Aarhus;56.13096577;10.16631862;56.13417989;42;8260;Denmark;169;COWI;8260;30;;548;MAJOR_ROAD;203742;Denmark;1309;AAR_BT_0468 3987 4556;229561;1955
Paludan-Müllers Vej;Hasle Ringvej;3983;2657;80;Aarhus;Aarhus;56.17389164;10.18218396;56.17505006;40;8210;Denmark;48;COWI;8200;48;;296;MAJOR_ROAD;185263;Denmark;880;AAR_BT_0203 3983 2657;186245;1703
Nordre Ringgade;Randersvej;3183;3977;93;Aarhus;Aarhus;56.17243586;10.20921913;56.17606862;31;8200;Denmark;64B;COWI;8200;54;;327;MAJOR_ROAD;187589;Denmark;802;AAR_BT_0234 3183 3977;189708;1734
Randersvej;Nordre Ringgade;3977;3183;97;Aarhus Municipality;Aarhus;56.17603875;10.20161666;56.17235121;31;8200;Denmark;51;COWI;8200;64B;;328;MAJOR_ROAD;187615;Denmark;839;AAR_BT_0235 3977 3183;189710;1735
Ravnsbjergvej;Ringvej Syd;4552;4334;91;Aarhus;Aarhus;56.12430428;10.14166338;56.118145;32;8260;Denmark;0;COWI;8260;0;;487;MAJOR_ROAD;197734;Denmark;813;AAR_BT_0407 4552 4334;229439;1894
Christian X's Vej;Christian X's Vej;4563;4550;124;Højbjerg;Højbjerg;56.12004118;10.16744167;56.11028821;40;8270;Denmark;169;COWI;8270;169;;500;MAJOR_ROAD;198085;Denmark;1383;AAR_BT_0420 4563 4550;229465;1907
